Season,Episode,Category,Time,Northernlion,Sinvicta,Country1,Northernlion1,Sinvicta1,Country2,Northernlion2,Sinvicta2,Country3,Northernlion3,Sinvicta3,Country4,Northernlion4,Sinvicta4,Country5,Northernlion5,Sinvicta5,NothernlionTotal,SinvictaTotal,Notes
1,46,xlDMbbsxL0sHc71Z,240,https://youtu.be/o1NHMMEsozQ,https://youtu.be/d1N7o39p4Zo,USA,4286,4942,USA,4882,1712,ROU,4275,4993,NOR,4875,4936,NOR,4443,3815,22761,20398,
1,47,DTmVmz2iVmv05PTF,240,https://youtu.be/o1NHMMEsozQ,https://youtu.be/zu27Th4Xka4,MEX,2028,4243,USA,4254,1053,SWE,3196,4900,BRA,4794,4518,AUS,3994,3692,18266,18406,
1,48,snXG0WKCp2Gualj2,240,https://youtu.be/RfMbq5xX7HE,https://youtu.be/JbUat7v38ys,BRA,1106,1213,ZAF,4803,4456,CAN,4150,4502,NZL,4892,3481,ZAF,3669,4827,18620,18479,
1,49,9WQAJOUrB6E4wnZi,240,https://youtu.be/bRpObCSt1VA,https://youtu.be/zgIzWv6eddc,VNM,2861,2783,ARG,2737,1293,GRC,4291,4223,SWE,4485,3628,MYS,4609,4569,18983,16496,
1,50,qgOz5TCSGQuJ6VAJ,240,https://youtu.be/lY5JXl5SgNE,https://youtu.be/bh5jrYncQ8k,USA,3258,4047,FRA,4080,4334,MEX,4999,4205,USA,4395,4255,ESP,3815,4890,20547,21731,
1,51,Nuf3U2ylxWOsEOWq,240,https://youtu.be/CEY9uu25uBM,https://youtu.be/AEN4D4uiPXM,GBR,4689,4786,NOR,3953,4817,GBR,5000,4983,USA,4264,2703,ZAF,4999,4254,22905,21543,
1,52,XHj9Mxf8tWNXrB0u,240,https://youtu.be/a2N4JwYVQT8,https://youtu.be/spjoenHWu9s,USA,4375,4969,ZAF,2224,4887,USA,4992,4188,FIN,4405,4837,CAN,3644,205,19640,19086,
1,53,95sZmay2nr5SIJ1Z,240,https://youtu.be/a2N4JwYVQT8,https://youtu.be/TFWh33EN-HQ,AUS,0,1920,FIN,4706,4999,RUS,4470,4443,CAN,4469,3937,USA,4329,3398,17974,18697,NL forgot to place a guess in the first guess.
1,54,nJvkKTQhHtUkxUeb,240,https://youtu.be/-c-vU9CK37o,https://youtu.be/RMlu4aurvOo,ARG,167,4005,CAN,2971,2758,AUS,27,2398,MNG,696,970,BRA,4858,4902,8719,15033,
1,55,F163Z5lj0rV535lo,240,https://youtu.be/JrxqF6lQyME,https://youtu.be/wGsDuO5f4lg,USA,4385,4852,NOR,4136,4296,USA,4987,4988,CAN,4030,3505,USA,4997,4962,22535,22603,
1,56,vpw1gt9LSVgyjAZG,240,https://youtu.be/KVPuCXhvuwA,https://youtu.be/EUiJuBsQL30,USA,3797,1269,KHM,4250,4774,COL,4121,1463,DNK,4987,4376,BRA,3849,2888,21004,14770,
